Isolate,Encapsulation,Resistance
6805_2#17,Encapsulated,Non-susceptible
6731_1#23,Encapsulated,Non-susceptible
7011_5#6,Encapsulated,Susceptible
6753_2#14,Encapsulated,Susceptible
6823_4#15,Encapsulated,Susceptible
6680_5#7,Encapsulated,Non-susceptible
6938_8#2,Encapsulated,Susceptible
6736_5#9,Encapsulated,Susceptible
7011_5#5,Unencapsulated,Non-susceptible
7011_4#8,Encapsulated,Susceptible
7004_5#8,Encapsulated,Non-susceptible
6649_8#13,Encapsulated,Susceptible
6925_3#21,Encapsulated,Non-susceptible
7011_5#9,Encapsulated,Susceptible
6841_7#7,Encapsulated,Non-susceptible
6641_6#20,Encapsulated,Susceptible
6641_6#14,Unencapsulated,Susceptible
6925_7#8,Encapsulated,Non-susceptible
6730_6#4,Encapsulated,Susceptible
6736_7#15,Unencapsulated,Non-susceptible
7038_6#1,Encapsulated,Non-susceptible
6631_3#16,Unencapsulated,Non-susceptible
6755_1#2,Encapsulated,Non-susceptible
6755_5#5,Encapsulated,Susceptible
6730_4#14,Encapsulated,Non-susceptible
6871_2#15,Encapsulated,Susceptible
6983_6#40,Encapsulated,Non-susceptible
6805_2#18,Encapsulated,Susceptible
6899_6#16,Encapsulated,Non-susceptible
6823_7#6,Encapsulated,Susceptible
6775_2#5,Unencapsulated,Non-susceptible
7004_8#80,Encapsulated,Susceptible
6631_7#21,Encapsulated,Unknown
6755_3#9,Encapsulated,Non-susceptible
6753_4#18,Encapsulated,Non-susceptible
7038_8#36,Encapsulated,Non-susceptible
6630_2#15,Encapsulated,Non-susceptible
6680_7#19,Encapsulated,Non-susceptible
6972_3#24,Encapsulated,Susceptible
6731_2#9,Encapsulated,Non-susceptible
6593_5#23,Unencapsulated,Non-susceptible
7011_5#24,Encapsulated,Non-susceptible
6938_8#22,Encapsulated,Susceptible
6823_7#19,Encapsulated,Non-susceptible
6983_6#42,Encapsulated,Non-susceptible
6949_4#11,Unencapsulated,Non-susceptible
6730_5#14,Encapsulated,Susceptible
7004_6#26,Encapsulated,Non-susceptible
6925_3#6,Encapsulated,Non-susceptible
6972_5#11,Encapsulated,Susceptible
7011_3#17,Encapsulated,Susceptible
6680_5#10,Encapsulated,Susceptible
6649_7#8,Encapsulated,Non-susceptible
7004_5#2,Encapsulated,Susceptible
7038_4#8,Unencapsulated,Non-susceptible
6714_8#21,Encapsulated,Susceptible
6730_6#1,Encapsulated,Non-susceptible
6755_6#3,Encapsulated,Non-susceptible
6755_3#19,Encapsulated,Non-susceptible
6805_5#23,Encapsulated,Susceptible
6983_5#22,Unencapsulated,Non-susceptible
6630_2#13,Unencapsulated,Non-susceptible
6938_3#30,Encapsulated,Susceptible
6710_7#8,Encapsulated,Non-susceptible
6925_8#18,Encapsulated,Non-susceptible
6259_6#11,Unencapsulated,Non-susceptible
6710_8#13,Encapsulated,Susceptible
6736_8#6,Encapsulated,Susceptible
6664_1#23,Encapsulated,Non-susceptible
7038_4#10,Encapsulated,Susceptible
6983_6#35,Encapsulated,Non-susceptible
6949_2#5,Unencapsulated,Non-susceptible
6925_6#14,Encapsulated,Non-susceptible
6925_6#19,Encapsulated,Susceptible
6731_2#22,Encapsulated,Susceptible
6925_3#20,Encapsulated,Susceptible
7011_4#3,Encapsulated,Non-susceptible
6736_4#19,Encapsulated,Susceptible
6730_6#24,Unencapsulated,Non-susceptible
6925_6#22,Encapsulated,Susceptible
6805_6#10,Encapsulated,Susceptible
6731_3#14,Encapsulated,Non-susceptible
6983_2#13,Unencapsulated,Non-susceptible
6731_4#15,Unencapsulated,Non-susceptible
6259_5#10,Encapsulated,Susceptible
6630_2#17,Encapsulated,Non-susceptible
6949_1#8,Encapsulated,Susceptible
6753_3#21,Encapsulated,Susceptible
6938_5#15,Encapsulated,Non-susceptible
6823_7#1,Encapsulated,Non-susceptible
6730_1#18,Unencapsulated,Non-susceptible
6731_4#21,Unencapsulated,Non-susceptible
6775_2#18,Unencapsulated,Non-susceptible
6823_2#15,Encapsulated,Susceptible
6823_4#14,Encapsulated,Non-susceptible
6710_6#19,Encapsulated,Susceptible
6805_4#15,Encapsulated,Non-susceptible
6823_1#5,Encapsulated,Non-susceptible
6731_1#10,Unencapsulated,Non-susceptible
6925_6#10,Encapsulated,Non-susceptible
6807_3#6,Encapsulated,Susceptible
7038_4#11,Unencapsulated,Susceptible
6949_4#23,Encapsulated,Susceptible
6710_7#15,Encapsulated,Susceptible
6983_8#90,Encapsulated,Susceptible
7092_6#19,Encapsulated,Susceptible
6830_3#2,Unencapsulated,Non-susceptible
6823_5#9,Unencapsulated,Susceptible
7054_5#9,Encapsulated,Non-susceptible
7004_8#89,Encapsulated,Non-susceptible
6755_4#6,Encapsulated,Susceptible
6899_4#8,Encapsulated,Susceptible
7011_5#12,Encapsulated,Non-susceptible
6730_7#4,Unencapsulated,Non-susceptible
7004_5#14,Encapsulated,Susceptible
7004_5#1,Encapsulated,Non-susceptible
6736_7#21,Encapsulated,Susceptible
6938_8#15,Encapsulated,Non-susceptible
6823_7#17,Encapsulated,Non-susceptible
6807_2#22,Encapsulated,Susceptible
6753_3#19,Encapsulated,Non-susceptible
6755_1#18,Encapsulated,Non-susceptible
6649_7#4,Unencapsulated,Unknown
6630_4#11,Encapsulated,Susceptible
6949_4#5,Encapsulated,Susceptible
6938_7#21,Unencapsulated,Non-susceptible
6630_1#12,Encapsulated,Susceptible
6899_6#2,Encapsulated,Susceptible
6731_5#8,Encapsulated,Non-susceptible
