Isolate,Encapsulation,Resistance
6736_8#3,Encapsulated,Susceptible
6899_5#17,Encapsulated,Non-susceptible
6753_3#24,Encapsulated,Non-susceptible
7004_5#5,Encapsulated,Susceptible
6840_1#23,Encapsulated,Non-susceptible
6631_2#19,Encapsulated,Non-susceptible
6714_8#15,Encapsulated,Non-susceptible
6925_5#3,Unencapsulated,Susceptible
7038_7#7,Encapsulated,Non-susceptible
6983_5#9,Encapsulated,Susceptible
6753_2#13,Encapsulated,Susceptible
6755_4#17,Encapsulated,Susceptible
6710_7#11,Encapsulated,Non-susceptible
6949_2#8,Encapsulated,Susceptible
6949_1#18,Encapsulated,Non-susceptible
7038_4#18,Encapsulated,Susceptible
6631_4#13,Encapsulated,Susceptible
7092_6#21,Encapsulated,Non-susceptible
6753_1#10,Encapsulated,Non-susceptible
6755_3#17,Unencapsulated,Non-susceptible
6593_5#5,Unencapsulated,Non-susceptible
6871_1#14,Encapsulated,Non-susceptible
6805_3#20,Unencapsulated,Non-susceptible
6631_7#7,Encapsulated,Non-susceptible
6925_3#18,Encapsulated,Non-susceptible
6259_6#22,Unencapsulated,Susceptible
7054_6#13,Encapsulated,Non-susceptible
7004_8#83,Encapsulated,Susceptible
6730_8#5,Encapsulated,Susceptible
6730_7#1,Encapsulated,Susceptible
6631_5#5,Encapsulated,Non-susceptible
6925_8#8,Encapsulated,Susceptible
6972_4#15,Encapsulated,Susceptible
6972_3#1,Encapsulated,Susceptible
6823_7#9,Encapsulated,Non-susceptible
6823_4#19,Encapsulated,Susceptible
6823_2#6,Encapsulated,Susceptible
6775_1#6,Encapsulated,Susceptible
7054_4#11,Encapsulated,Non-susceptible
6899_6#14,Encapsulated,Non-susceptible
6949_2#21,Encapsulated,Susceptible
6731_6#5,Encapsulated,Susceptible
7038_7#11,Encapsulated,Susceptible
7011_5#15,Encapsulated,Non-susceptible
6805_7#2,Encapsulated,Susceptible
6649_8#1,Unencapsulated,Non-susceptible
6731_6#15,Unencapsulated,Non-susceptible
6983_7#56,Encapsulated,Susceptible
6259_7#4,Encapsulated,Susceptible
6840_1#2,Encapsulated,Non-susceptible
6755_2#17,Unencapsulated,Non-susceptible
6593_4#11,Encapsulated,Susceptible
6983_4#92,Encapsulated,Susceptible
6259_5#21,Encapsulated,Susceptible
6983_7#50,Encapsulated,Non-susceptible
7011_3#7,Encapsulated,Susceptible
6736_7#19,Encapsulated,Susceptible
6731_3#5,Encapsulated,Non-susceptible
6664_1#5,Unencapsulated,Non-susceptible
7004_8#78,Encapsulated,Susceptible
6755_6#2,Encapsulated,Susceptible
6680_6#11,Unencapsulated,Non-susceptible
6731_4#24,Encapsulated,Non-susceptible
6823_2#11,Encapsulated,Susceptible
7011_6#13,Unencapsulated,Non-susceptible
6899_4#9,Encapsulated,Susceptible
6925_8#23,Encapsulated,Susceptible
6983_2#12,Encapsulated,Susceptible
6710_6#11,Unencapsulated,Non-susceptible
7011_3#18,Encapsulated,Non-susceptible
6710_8#8,Encapsulated,Susceptible
6823_2#19,Encapsulated,Susceptible
6730_7#22,Encapsulated,Susceptible
6680_8#15,Encapsulated,Susceptible
6736_4#6,Encapsulated,Susceptible
6680_7#17,Encapsulated,Non-susceptible
6807_2#24,Encapsulated,Non-susceptible
6731_3#23,Encapsulated,Susceptible
6775_2#10,Unencapsulated,Non-susceptible
6830_3#20,Encapsulated,Non-susceptible
7011_6#3,Encapsulated,Susceptible
6983_8#88,Encapsulated,Susceptible
6983_7#64,Encapsulated,Susceptible
6680_5#13,Encapsulated,Non-susceptible
6736_8#22,Encapsulated,Non-susceptible
6753_2#20,Encapsulated,Susceptible
6925_8#6,Encapsulated,Non-susceptible
6775_2#20,Encapsulated,Non-susceptible
7011_3#9,Encapsulated,Non-susceptible
6736_6#3,Encapsulated,Susceptible
6938_5#18,Encapsulated,Susceptible
6949_1#6,Encapsulated,Susceptible
6680_4#1,Encapsulated,Non-susceptible
6983_3#61,Encapsulated,Susceptible
6840_1#7,Encapsulated,Non-susceptible
6983_2#20,Encapsulated,Non-susceptible
6972_4#5,Unencapsulated,Non-susceptible
6755_1#19,Encapsulated,Susceptible
6736_6#24,Encapsulated,Non-susceptible
7068_4#7,Encapsulated,Non-susceptible
6736_4#8,Encapsulated,Non-susceptible
6731_6#16,Encapsulated,Non-susceptible
6664_1#3,Unencapsulated,Non-susceptible
6630_1#15,Encapsulated,Non-susceptible
6710_6#6,Encapsulated,Non-susceptible
6805_6#18,Encapsulated,Non-susceptible
6983_3#65,Encapsulated,Non-susceptible
7004_7#56,Encapsulated,Non-susceptible
6755_1#10,Encapsulated,Non-susceptible
7092_6#6,Encapsulated,Susceptible
6949_4#2,Encapsulated,Susceptible
7038_7#24,Encapsulated,Non-susceptible
6830_3#7,Encapsulated,Susceptible
6730_7#8,Encapsulated,Non-susceptible
6805_5#14,Encapsulated,Non-susceptible
6983_4#90,Encapsulated,Susceptible
7011_3#4,Encapsulated,Susceptible
6925_8#5,Encapsulated,Susceptible
6823_2#8,Encapsulated,Susceptible
6775_2#23,Encapsulated,Non-susceptible
6631_5#19,Encapsulated,Susceptible
6680_8#23,Encapsulated,Susceptible
6983_2#7,Encapsulated,Susceptible
6823_7#14,Unencapsulated,Susceptible
6983_3#64,Unencapsulated,Non-susceptible
6631_1#21,Unencapsulated,Non-susceptible
6949_4#1,Encapsulated,Non-susceptible
6259_8#6,Encapsulated,Susceptible
6593_5#15,Encapsulated,Non-susceptible
6680_4#10,Encapsulated,Susceptible
6631_2#14,Unencapsulated,Non-susceptible
6664_1#20,Encapsulated,Susceptible
6805_5#5,Encapsulated,Susceptible
6807_2#14,Encapsulated,Non-susceptible
6680_4#19,Encapsulated,Susceptible
6736_5#12,Encapsulated,Susceptible
7011_6#14,Encapsulated,Non-susceptible
6630_4#5,Unencapsulated,Non-susceptible
6731_5#24,Unencapsulated,Non-susceptible
6680_4#20,Unencapsulated,Non-susceptible
6899_4#3,Encapsulated,Susceptible
7004_6#40,Encapsulated,Susceptible
6805_3#1,Encapsulated,Susceptible
6631_6#11,Encapsulated,Susceptible
6949_2#6,Encapsulated,Non-susceptible
6631_5#24,Unencapsulated,Non-susceptible
6673_8#11,Encapsulated,Susceptible
6731_1#4,Encapsulated,Non-susceptible
6630_2#10,Encapsulated,Susceptible
6775_2#13,Encapsulated,Non-susceptible
6631_6#2,Encapsulated,Non-susceptible
6823_3#3,Encapsulated,Non-susceptible
6710_8#21,Encapsulated,Non-susceptible
6631_4#7,Encapsulated,Susceptible
6714_7#14,Encapsulated,Non-susceptible
6680_8#13,Encapsulated,Non-susceptible
7004_8#93,Encapsulated,Non-susceptible
6949_2#11,Encapsulated,Susceptible
6823_4#4,Encapsulated,Susceptible
6730_3#17,Encapsulated,Susceptible
6983_4#82,Encapsulated,Non-susceptible
6807_1#5,Encapsulated,Susceptible
6714_8#10,Encapsulated,Susceptible
6949_1#17,Encapsulated,Non-susceptible
6805_3#22,Encapsulated,Susceptible
6823_2#12,Encapsulated,Susceptible
6736_6#17,Encapsulated,Susceptible
7011_3#21,Encapsulated,Susceptible
6840_1#19,Encapsulated,Susceptible
7038_6#8,Encapsulated,Susceptible
6805_5#2,Encapsulated,Susceptible
6938_8#14,Encapsulated,Non-susceptible
6830_3#16,Encapsulated,Susceptible
6938_5#13,Encapsulated,Susceptible
6730_8#1,Unencapsulated,Non-susceptible
6730_5#13,Unencapsulated,Non-susceptible
7092_6#17,Unencapsulated,Non-susceptible
6871_2#9,Encapsulated,Non-susceptible
7092_6#24,Encapsulated,Non-susceptible
6593_4#22,Encapsulated,Susceptible
6649_7#14,Encapsulated,Non-susceptible
6731_4#17,Encapsulated,Susceptible
6972_4#22,Encapsulated,Non-susceptible
6823_7#13,Encapsulated,Non-susceptible
6631_2#18,Encapsulated,Susceptible
6736_6#14,Encapsulated,Non-susceptible
6983_2#22,Unencapsulated,Non-susceptible
7011_6#10,Encapsulated,Non-susceptible
6807_1#11,Encapsulated,Susceptible
6925_5#23,Encapsulated,Non-susceptible
6259_8#12,Encapsulated,Susceptible
6925_8#7,Encapsulated,Non-susceptible
7038_6#21,Encapsulated,Susceptible
6731_4#9,Encapsulated,Non-susceptible
6925_6#4,Encapsulated,Susceptible
6938_7#2,Unencapsulated,Non-susceptible
6775_1#8,Unencapsulated,Non-susceptible
6925_4#5,Unencapsulated,Susceptible
6730_3#5,Encapsulated,Susceptible
6680_8#1,Encapsulated,Non-susceptible
6753_2#12,Encapsulated,Non-susceptible
6983_2#14,Encapsulated,Non-susceptible
6753_4#9,Encapsulated,Susceptible
6631_4#21,Encapsulated,Susceptible
6823_4#20,Unencapsulated,Susceptible
6755_6#14,Encapsulated,Non-susceptible
6755_1#12,Encapsulated,Susceptible
7038_6#4,Encapsulated,Susceptible
6736_5#8,Encapsulated,Susceptible
6775_1#7,Encapsulated,Non-susceptible
6840_1#24,Encapsulated,Non-susceptible
6730_5#10,Encapsulated,Susceptible
7011_6#7,Encapsulated,Non-susceptible
6823_7#8,Encapsulated,Non-susceptible
6983_3#57,Encapsulated,Susceptible
6805_6#20,Encapsulated,Susceptible
6972_5#4,Encapsulated,Non-susceptible
6731_6#14,Encapsulated,Susceptible
6753_1#17,Encapsulated,Non-susceptible
6730_1#2,Unencapsulated,Non-susceptible
6730_6#16,Unencapsulated,Non-susceptible
7038_7#17,Encapsulated,Susceptible
7004_6#25,Encapsulated,Non-susceptible
7038_5#7,Encapsulated,Susceptible
6983_7#63,Encapsulated,Susceptible
6730_5#5,Encapsulated,Susceptible
6714_7#2,Encapsulated,Susceptible
7011_5#3,Encapsulated,Non-susceptible
6593_5#9,Encapsulated,Susceptible
6630_1#24,Encapsulated,Susceptible
6631_5#13,Encapsulated,Susceptible
6823_5#7,Unencapsulated,Susceptible
6925_7#9,Encapsulated,Non-susceptible
6631_6#17,Encapsulated,Non-susceptible
6972_2#16,Encapsulated,Non-susceptible
6972_4#3,Encapsulated,Susceptible
6730_5#21,Encapsulated,Susceptible
6664_1#2,Unencapsulated,Non-susceptible
7092_6#15,Encapsulated,Non-susceptible
7038_8#37,Encapsulated,Non-susceptible
6631_6#19,Encapsulated,Susceptible
6710_8#20,Encapsulated,Susceptible
6593_4#14,Encapsulated,Susceptible
7038_7#13,Unencapsulated,Non-susceptible
6983_3#66,Unencapsulated,Susceptible
6983_7#54,Encapsulated,Susceptible
6755_4#3,Encapsulated,Susceptible
6736_6#23,Encapsulated,Non-susceptible
6925_5#24,Encapsulated,Susceptible
6841_7#8,Encapsulated,Susceptible
7038_4#4,Encapsulated,Non-susceptible
7011_5#18,Unencapsulated,Susceptible
6823_3#16,Encapsulated,Non-susceptible
6775_1#14,Unencapsulated,Non-susceptible
6840_3#20,Unencapsulated,Non-susceptible
6871_2#8,Encapsulated,Non-susceptible
7011_4#17,Encapsulated,Non-susceptible
6631_2#2,Encapsulated,Susceptible
6823_5#19,Encapsulated,Susceptible
6925_5#10,Encapsulated,Non-susceptible
6630_4#20,Unencapsulated,Non-susceptible
6631_2#3,Encapsulated,Susceptible
6805_7#11,Encapsulated,Susceptible
6641_6#9,Encapsulated,Non-susceptible
6755_2#5,Unencapsulated,Non-susceptible
6925_3#14,Encapsulated,Susceptible
6938_8#9,Encapsulated,Susceptible
6714_7#18,Unencapsulated,Non-susceptible
6673_8#23,Encapsulated,Susceptible
6823_1#23,Encapsulated,Susceptible
6925_5#21,Encapsulated,Susceptible
6593_5#1,Unencapsulated,Non-susceptible
6755_5#6,Encapsulated,Susceptible
6755_2#2,Encapsulated,Non-susceptible
6938_7#1,Unencapsulated,Non-susceptible
6755_5#15,Encapsulated,Susceptible
6753_3#16,Encapsulated,Non-susceptible
6730_7#19,Unencapsulated,Non-susceptible
6680_5#8,Encapsulated,Non-susceptible
6775_1#5,Unencapsulated,Non-susceptible
6807_3#8,Unencapsulated,Non-susceptible
6731_6#7,Unencapsulated,Non-susceptible
6972_3#3,Encapsulated,Susceptible
6899_7#1,Encapsulated,Susceptible
6731_3#16,Encapsulated,Non-susceptible
7038_4#21,Unencapsulated,Non-susceptible
7038_5#9,Unencapsulated,Non-susceptible
6680_7#12,Unencapsulated,Susceptible
6731_5#1,Encapsulated,Susceptible
6775_1#17,Encapsulated,Susceptible
6631_5#14,Encapsulated,Non-susceptible
6731_3#17,Encapsulated,Susceptible
6631_3#22,Unencapsulated,Non-susceptible
6731_4#1,Encapsulated,Susceptible
6730_8#3,Encapsulated,Susceptible
6823_6#23,Encapsulated,Susceptible
6259_5#20,Unencapsulated,Non-susceptible
6949_2#3,Unencapsulated,Non-susceptible
6673_8#19,Encapsulated,Non-susceptible
6805_4#17,Encapsulated,Non-susceptible
7004_5#7,Encapsulated,Susceptible
6631_3#12,Unencapsulated,Susceptible
6630_4#14,Encapsulated,Non-susceptible
6736_4#5,Encapsulated,Susceptible
6593_4#20,Unencapsulated,Non-susceptible
6755_6#19,Encapsulated,Non-susceptible
6938_6#8,Encapsulated,Susceptible
6949_4#19,Encapsulated,Susceptible
6840_3#9,Encapsulated,Non-susceptible
7038_6#24,Encapsulated,Non-susceptible
6823_5#14,Encapsulated,Non-susceptible
6805_4#19,Encapsulated,Susceptible
6949_1#14,Encapsulated,Susceptible
6631_2#22,Unencapsulated,Non-susceptible
6755_5#12,Encapsulated,Susceptible
7004_6#42,Encapsulated,Non-susceptible
6736_5#11,Unencapsulated,Susceptible
7054_4#12,Encapsulated,Susceptible
7038_8#26,Unencapsulated,Non-susceptible
6259_5#15,Encapsulated,Susceptible
6840_3#3,Encapsulated,Susceptible
6899_4#24,Unencapsulated,Non-susceptible
6830_3#8,Encapsulated,Susceptible
6983_6#26,Encapsulated,Non-susceptible
6938_8#19,Unencapsulated,Non-susceptible
6925_5#13,Encapsulated,Non-susceptible
6823_6#7,Encapsulated,Non-susceptible
6983_8#78,Encapsulated,Non-susceptible
6755_1#3,Encapsulated,Non-susceptible
6630_3#18,Encapsulated,Non-susceptible
6938_3#33,Encapsulated,Susceptible
6899_6#9,Unencapsulated,Susceptible
7011_6#18,Encapsulated,Susceptible
6731_1#5,Encapsulated,Susceptible
7038_6#20,Encapsulated,Susceptible
6736_4#22,Encapsulated,Non-susceptible
6972_4#21,Encapsulated,Susceptible
6680_5#11,Encapsulated,Non-susceptible
6680_4#3,Encapsulated,Non-susceptible
6680_4#12,Encapsulated,Non-susceptible
6736_7#2,Encapsulated,Non-susceptible
6949_1#20,Encapsulated,Susceptible
6925_5#6,Encapsulated,Susceptible
6730_6#12,Encapsulated,Non-susceptible
6925_3#9,Encapsulated,Non-susceptible
6938_3#25,Encapsulated,Susceptible
6714_7#4,Encapsulated,Non-susceptible
6830_3#15,Encapsulated,Non-susceptible
6925_5#9,Encapsulated,Susceptible
6775_2#4,Unencapsulated,Non-susceptible
6593_5#8,Encapsulated,Susceptible
6805_3#7,Encapsulated,Susceptible
7038_8#43,Encapsulated,Susceptible
6736_6#6,Encapsulated,Susceptible
6731_1#15,Encapsulated,Non-susceptible
6714_7#15,Encapsulated,Susceptible
6736_7#16,Encapsulated,Non-susceptible
6680_8#4,Encapsulated,Susceptible
6949_3#3,Encapsulated,Susceptible
6730_1#7,Encapsulated,Susceptible
6680_6#6,Unencapsulated,Non-susceptible
6730_8#18,Unencapsulated,Non-susceptible
6841_7#19,Encapsulated,Susceptible
6731_3#11,Encapsulated,Non-susceptible
6731_3#19,Encapsulated,Non-susceptible
6710_6#9,Encapsulated,Susceptible
6805_3#11,Unencapsulated,Non-susceptible
6949_1#1,Unencapsulated,Non-susceptible
6730_4#11,Encapsulated,Non-susceptible
6630_4#3,Encapsulated,Susceptible
6972_2#11,Encapsulated,Susceptible
6631_7#20,Encapsulated,Unknown
6673_8#3,Encapsulated,Susceptible
6938_3#31,Encapsulated,Susceptible
6753_2#17,Encapsulated,Non-susceptible
6649_8#24,Encapsulated,Susceptible
6807_2#19,Encapsulated,Susceptible
6925_3#2,Unencapsulated,Non-susceptible
6925_6#9,Unencapsulated,Non-susceptible
6871_1#15,Encapsulated,Susceptible
6630_4#8,Encapsulated,Susceptible
6972_2#20,Encapsulated,Non-susceptible
6730_7#17,Unencapsulated,Susceptible
6807_2#4,Encapsulated,Susceptible
6925_3#10,Encapsulated,Susceptible
6680_4#5,Encapsulated,Non-susceptible
6753_1#11,Encapsulated,Susceptible
6259_6#7,Encapsulated,Susceptible
6731_6#20,Encapsulated,Susceptible
6938_5#19,Encapsulated,Susceptible
6673_8#17,Unencapsulated,Non-susceptible
7038_8#30,Encapsulated,Non-susceptible
6259_6#24,Encapsulated,Susceptible
7054_5#7,Encapsulated,Susceptible
6949_3#16,Unencapsulated,Susceptible
6823_3#2,Encapsulated,Susceptible
6983_4#85,Encapsulated,Susceptible
7004_8#96,Encapsulated,Non-susceptible
6983_6#30,Encapsulated,Susceptible
6805_5#4,Encapsulated,Susceptible
6983_5#16,Unencapsulated,Non-susceptible
6805_2#21,Encapsulated,Susceptible
6755_5#8,Encapsulated,Susceptible
6631_3#8,Encapsulated,Susceptible
6925_3#11,Encapsulated,Non-susceptible
7038_8#34,Unencapsulated,Non-susceptible
6730_6#9,Encapsulated,Non-susceptible
6680_6#18,Encapsulated,Susceptible
6631_1#7,Encapsulated,Non-susceptible
6983_3#70,Unencapsulated,Non-susceptible
7068_4#2,Encapsulated,Non-susceptible
6823_7#15,Encapsulated,Non-susceptible
6259_7#10,Encapsulated,Susceptible
7038_8#28,Encapsulated,Non-susceptible
6823_6#17,Encapsulated,Susceptible
7054_5#22,Encapsulated,Susceptible
6673_8#8,Unencapsulated,Susceptible
6807_2#9,Encapsulated,Susceptible
7054_6#8,Encapsulated,Susceptible
6983_6#37,Encapsulated,Susceptible
7038_8#27,Encapsulated,Susceptible
6730_5#19,Encapsulated,Non-susceptible
7011_6#20,Encapsulated,Non-susceptible
6630_4#2,Encapsulated,Susceptible
6949_3#11,Encapsulated,Non-susceptible
7011_4#14,Unencapsulated,Non-susceptible
7004_8#73,Encapsulated,Non-susceptible
7004_6#43,Encapsulated,Non-susceptible
6631_1#8,Encapsulated,Susceptible
6755_5#1,Encapsulated,Non-susceptible
6755_3#8,Unencapsulated,Non-susceptible
6731_1#24,Encapsulated,Susceptible
6731_6#3,Encapsulated,Non-susceptible
6680_8#18,Encapsulated,Non-susceptible
6938_6#2,Unencapsulated,Susceptible
6949_2#23,Unencapsulated,Non-susceptible
6972_4#14,Encapsulated,Susceptible
6673_8#1,Encapsulated,Susceptible
6983_2#8,Encapsulated,Susceptible
6641_6#7,Encapsulated,Non-susceptible
6983_6#44,Encapsulated,Susceptible
6680_6#9,Encapsulated,Susceptible
6925_8#1,Encapsulated,Susceptible
6631_1#17,Encapsulated,Susceptible
6972_5#12,Encapsulated,Susceptible
7004_8#95,Encapsulated,Susceptible
7011_4#20,Encapsulated,Non-susceptible
6259_5#17,Encapsulated,Susceptible
7054_6#5,Encapsulated,Non-susceptible
6805_3#9,Encapsulated,Susceptible
6680_6#20,Encapsulated,Non-susceptible
6631_6#12,Encapsulated,Non-susceptible
6631_5#18,Encapsulated,Non-susceptible
6630_3#7,Encapsulated,Non-susceptible
6714_7#7,Encapsulated,Susceptible
6631_3#6,Unencapsulated,Non-susceptible
6823_5#15,Encapsulated,Susceptible
6983_2#16,Encapsulated,Non-susceptible
6631_7#4,Encapsulated,Non-susceptible
6593_4#18,Encapsulated,Non-susceptible
6731_5#21,Encapsulated,Non-susceptible
6899_5#14,Encapsulated,Susceptible
6871_1#3,Encapsulated,Non-susceptible
6736_5#21,Encapsulated,Susceptible
6259_8#10,Encapsulated,Susceptible
6949_3#9,Encapsulated,Susceptible
7004_7#55,Encapsulated,Non-susceptible
6807_2#12,Encapsulated,Susceptible
7068_4#9,Encapsulated,Non-susceptible
6949_3#18,Encapsulated,Non-susceptible
6680_7#16,Encapsulated,Susceptible
6925_7#10,Encapsulated,Non-susceptible
7004_7#71,Encapsulated,Non-susceptible
6983_8#89,Unencapsulated,Non-susceptible
6775_1#19,Encapsulated,Susceptible
6731_3#12,Encapsulated,Non-susceptible
6805_2#2,Encapsulated,Non-susceptible
6753_4#23,Encapsulated,Non-susceptible
6755_2#14,Encapsulated,Susceptible
6714_8#9,Encapsulated,Susceptible
6823_5#1,Encapsulated,Susceptible
6899_7#6,Encapsulated,Non-susceptible
6899_6#18,Encapsulated,Non-susceptible
6840_1#20,Encapsulated,Non-susceptible
6710_7#23,Encapsulated,Susceptible
6259_6#21,Encapsulated,Susceptible
6736_5#20,Encapsulated,Susceptible
6871_1#24,Unencapsulated,Non-susceptible
6755_4#2,Unencapsulated,Non-susceptible
7011_5#22,Encapsulated,Susceptible
6807_3#1,Encapsulated,Non-susceptible
6714_8#12,Encapsulated,Non-susceptible
6730_5#1,Encapsulated,Susceptible
6755_1#22,Encapsulated,Non-susceptible
6983_7#72,Encapsulated,Susceptible
6925_4#23,Encapsulated,Non-susceptible
6972_2#23,Encapsulated,Susceptible
6925_8#20,Encapsulated,Non-susceptible
6730_7#16,Unencapsulated,Susceptible
6925_8#12,Encapsulated,Susceptible
6807_3#9,Encapsulated,Susceptible
6710_7#22,Unencapsulated,Non-susceptible
6673_8#5,Encapsulated,Susceptible
6593_4#6,Unencapsulated,Susceptible
6949_2#12,Unencapsulated,Non-susceptible
6730_3#7,Encapsulated,Non-susceptible
6630_1#10,Encapsulated,Susceptible
6593_4#15,Encapsulated,Susceptible
6641_6#6,Unencapsulated,Non-susceptible
6972_5#1,Encapsulated,Non-susceptible
6983_5#13,Encapsulated,Non-susceptible
6753_3#23,Encapsulated,Susceptible
6871_1#22,Encapsulated,Susceptible
6736_4#15,Encapsulated,Non-susceptible
6871_2#19,Encapsulated,Susceptible
6259_7#12,Encapsulated,Susceptible
6649_8#17,Unencapsulated,Susceptible
6631_2#4,Encapsulated,Susceptible
7038_7#14,Encapsulated,Non-susceptible
7092_6#20,Encapsulated,Non-susceptible
6949_4#24,Encapsulated,Non-susceptible
6938_6#23,Encapsulated,Susceptible
6630_4#19,Unencapsulated,Non-susceptible
7004_8#91,Encapsulated,Susceptible
6755_3#20,Encapsulated,Non-susceptible
6925_6#8,Unencapsulated,Non-susceptible
6631_4#15,Encapsulated,Susceptible
6925_6#12,Encapsulated,Non-susceptible
6631_4#22,Unencapsulated,Non-susceptible
6807_1#20,Encapsulated,Susceptible
6899_7#13,Encapsulated,Susceptible
6259_6#5,Encapsulated,Susceptible
6631_3#23,Encapsulated,Susceptible
7038_4#22,Encapsulated,Non-susceptible
6731_6#23,Encapsulated,Susceptible
6710_7#6,Encapsulated,Non-susceptible
7054_5#20,Encapsulated,Non-susceptible
6730_6#19,Unencapsulated,Non-susceptible
6259_5#6,Encapsulated,Susceptible
6680_8#3,Encapsulated,Susceptible
6972_2#7,Encapsulated,Susceptible
6736_7#14,Encapsulated,Susceptible
6871_1#16,Encapsulated,Non-susceptible
6714_7#10,Unencapsulated,Non-susceptible
6983_8#84,Encapsulated,Susceptible
6730_7#13,Unencapsulated,Non-susceptible
6775_2#24,Encapsulated,Non-susceptible
6730_1#20,Encapsulated,Non-susceptible
6755_2#10,Encapsulated,Susceptible
6680_4#4,Unencapsulated,Non-susceptible
6631_2#5,Encapsulated,Susceptible
6805_3#6,Encapsulated,Non-susceptible
6753_2#18,Encapsulated,Susceptible
6807_2#3,Encapsulated,Non-susceptible
6730_6#14,Encapsulated,Susceptible
6631_3#4,Encapsulated,Susceptible
6631_2#17,Encapsulated,Non-susceptible
6730_3#20,Encapsulated,Non-susceptible
6949_3#14,Encapsulated,Non-susceptible
6807_1#8,Encapsulated,Non-susceptible
6972_2#15,Unencapsulated,Susceptible
6731_6#9,Encapsulated,Susceptible
7004_5#10,Encapsulated,Non-susceptible
6807_2#23,Encapsulated,Susceptible
6823_3#5,Unencapsulated,Non-susceptible
6807_3#7,Encapsulated,Non-susceptible
6631_5#3,Encapsulated,Non-susceptible
6630_2#7,Encapsulated,Non-susceptible
6736_4#11,Encapsulated,Susceptible
6710_6#23,Unencapsulated,Non-susceptible
6823_2#4,Encapsulated,Non-susceptible
6755_5#2,Unencapsulated,Susceptible
7011_3#10,Encapsulated,Susceptible
6925_4#15,Encapsulated,Susceptible
6731_3#20,Encapsulated,Susceptible
6949_2#16,Encapsulated,Non-susceptible
6736_8#8,Encapsulated,Non-susceptible
7011_4#15,Encapsulated,Non-susceptible
6753_2#16,Encapsulated,Susceptible
6949_1#2,Encapsulated,Non-susceptible
7011_5#10,Unencapsulated,Susceptible
6631_2#21,Encapsulated,Susceptible
6807_2#20,Encapsulated,Susceptible
6259_8#23,Encapsulated,Non-susceptible
6925_4#12,Encapsulated,Non-susceptible
6259_5#8,Unencapsulated,Susceptible
6755_4#19,Encapsulated,Non-susceptible
6755_4#11,Encapsulated,Non-susceptible
6710_8#11,Encapsulated,Non-susceptible
6755_4#24,Encapsulated,Non-susceptible
6736_8#16,Encapsulated,Susceptible
6736_5#4,Unencapsulated,Non-susceptible
6631_4#10,Encapsulated,Susceptible
6925_6#11,Encapsulated,Non-susceptible
6259_5#23,Encapsulated,Non-susceptible
6630_1#14,Unencapsulated,Non-susceptible
6731_2#4,Encapsulated,Susceptible
7054_6#23,Encapsulated,Susceptible
6680_7#7,Encapsulated,Non-susceptible
6259_6#1,Unencapsulated,Non-susceptible
6680_5#17,Encapsulated,Non-susceptible
6938_5#6,Encapsulated,Susceptible
6807_3#15,Unencapsulated,Susceptible
6630_2#1,Encapsulated,Susceptible
6593_4#21,Encapsulated,Susceptible
6807_2#1,Encapsulated,Non-susceptible
6755_2#13,Unencapsulated,Non-susceptible
6631_5#8,Encapsulated,Susceptible
6731_3#2,Encapsulated,Susceptible
6899_5#16,Encapsulated,Non-susceptible
6823_2#20,Unencapsulated,Non-susceptible
6630_4#17,Encapsulated,Non-susceptible
6630_4#18,Encapsulated,Non-susceptible
6823_7#23,Encapsulated,Susceptible
7054_4#7,Encapsulated,Non-susceptible
6840_1#14,Encapsulated,Susceptible
6925_8#2,Encapsulated,Non-susceptible
6730_4#2,Unencapsulated,Non-susceptible
6823_1#15,Encapsulated,Non-susceptible
6972_4#9,Encapsulated,Susceptible
6593_4#12,Encapsulated,Non-susceptible
6259_7#7,Unencapsulated,Non-susceptible
6949_3#7,Encapsulated,Susceptible
6259_6#15,Encapsulated,Susceptible
6730_7#24,Encapsulated,Susceptible
6259_8#15,Encapsulated,Susceptible
6731_1#22,Encapsulated,Susceptible
6899_5#13,Encapsulated,Susceptible
6938_8#4,Encapsulated,Non-susceptible
6972_4#7,Encapsulated,Susceptible
6731_4#16,Encapsulated,Non-susceptible
7054_4#22,Encapsulated,Susceptible
7054_4#13,Encapsulated,Susceptible
6680_7#21,Encapsulated,Non-susceptible
6972_3#5,Unencapsulated,Susceptible
6925_8#13,Encapsulated,Susceptible
6731_2#10,Encapsulated,Non-susceptible
7092_6#3,Encapsulated,Susceptible
6736_6#11,Encapsulated,Non-susceptible
6731_5#17,Encapsulated,Non-susceptible
6925_6#3,Encapsulated,Non-susceptible
7092_6#12,Unencapsulated,Non-susceptible
6805_2#24,Encapsulated,Susceptible
6972_2#5,Encapsulated,Susceptible
6983_2#17,Encapsulated,Susceptible
6899_7#8,Unencapsulated,Susceptible
6680_5#24,Encapsulated,Non-susceptible
7038_4#6,Encapsulated,Susceptible
6983_6#32,Unencapsulated,Susceptible
6840_3#7,Encapsulated,Non-susceptible
7068_4#1,Encapsulated,Non-susceptible
6730_4#10,Encapsulated,Non-susceptible
6730_1#13,Encapsulated,Susceptible
6641_6#3,Encapsulated,Non-susceptible
6983_4#81,Encapsulated,Susceptible
6631_7#1,Encapsulated,Susceptible
6649_8#15,Encapsulated,Susceptible
6753_1#19,Encapsulated,Susceptible
7068_4#24,Encapsulated,Susceptible
7004_6#39,Encapsulated,Non-susceptible
